gameweek,dayofweek,date,start_time,home_team,home_xg,score,away_xg,away_team,attendance,venue,game_detail,season,league,possession_home,possession_away,shot_on_target_home,shot_on_target_away,saves_home,saves_away
1,Fri,2015-08-07,20:30,Lille,,0–1,,Paris S-G,,Stade Pierre-Mauroy,https://fbref.com/en/matches/3127095c/Lille-Paris-Saint-Germain-August-7-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>52%</strong></div>,<div><strong>48%</strong></div>,<div>2 of 12 — <strong>17%</strong></div>,<div><strong>43%</strong> — 3 of 7</div>,<div>1 of 3 — <strong>33%</strong></div>,<div><strong>100%</strong> — 2 of 2</div>
1,Sat,2015-08-08,21:00,Montpellier,,0–2,,Angers,,Stade de la Mosson,https://fbref.com/en/matches/232acad2/Montpellier-Angers-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>63%</strong></div>,<div><strong>37%</strong></div>,<div>4 of 11 — <strong>36%</strong></div>,<div><strong>38%</strong> — 6 of 16</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
1,Sat,2015-08-08,21:00,Nantes,,1–0,,Guingamp,,Stade de la Beaujoire - Louis Fonteneau,https://fbref.com/en/matches/23b6d0ee/Nantes-Guingamp-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>56%</strong></div>,<div><strong>44%</strong></div>,<div>4 of 9 — <strong>44%</strong></div>,<div><strong>40%</strong> — 4 of 10</div>,<div>4 of 4 — <strong>100%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
1,Sat,2015-08-08,21:00,Troyes,,0–0,,Gazélec Ajaccio,,Stade Ange Casanova,https://fbref.com/en/matches/548792b8/Troyes-Gazelec-Ajaccio-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>53%</strong></div>,<div><strong>47%</strong></div>,<div>4 of 12 — <strong>33%</strong></div>,<div><strong>14%</strong> — 1 of 7</div>,<div>1 of 1 — <strong>100%</strong></div>,<div><strong>100%</strong> — 4 of 4</div>
1,Sat,2015-08-08,21:00,Nice,,1–2,,Monaco,,Stade de Nice,https://fbref.com/en/matches/5b7c19b8/Nice-Monaco-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>43%</strong></div>,<div><strong>57%</strong></div>,<div>2 of 6 — <strong>33%</strong></div>,<div><strong>33%</strong> — 6 of 18</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>50%</strong> — 1 of 2</div>
1,Sat,2015-08-08,21:00,Marseille,,0–1,,Caen,,Orange Vélodrome,https://fbref.com/en/matches/66dbcd03/Marseille-Caen-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>70%</strong></div>,<div><strong>30%</strong></div>,<div>6 of 18 — <strong>33%</strong></div>,<div><strong>50%</strong> — 4 of 8</div>,<div>3 of 4 — <strong>75%</strong></div>,<div><strong>83%</strong> — 5 of 6</div>
1,Sat,2015-08-08,21:00,Bastia,,2–1,,Rennes,,Stade Armand Césari,https://fbref.com/en/matches/bff4535d/Bastia-Rennes-August-8-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>48%</strong></div>,<div><strong>52%</strong></div>,<div>3 of 11 — <strong>27%</strong></div>,<div><strong>50%</strong> — 3 of 6</div>,<div>2 of 3 — <strong>66%</strong></div>,<div><strong>0%</strong> — 0 of 3</div>
1,Sun,2015-08-09,17:00,Bordeaux,,1–2,,Reims,,Stade Jacques Chaban-Delmas,https://fbref.com/en/matches/39808a49/Bordeaux-Reims-August-9-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>50%</strong></div>,<div><strong>50%</strong></div>,<div>4 of 13 — <strong>31%</strong></div>,<div><strong>43%</strong> — 6 of 14</div>,<div>4 of 6 — <strong>66%</strong></div>,<div><strong>75%</strong> — 3 of 4</div>
1,Sun,2015-08-09,17:00,Toulouse,,2–1,,Saint-Étienne,,Stadium Municipal,https://fbref.com/en/matches/b39894dd/Toulouse-Saint-Etienne-August-9-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>47%</strong></div>,<div><strong>53%</strong></div>,<div>3 of 9 — <strong>33%</strong></div>,<div><strong>18%</strong> — 2 of 11</div>,<div>1 of 2 — <strong>50%</strong></div>,<div><strong>33%</strong> — 1 of 3</div>
1,Sun,2015-08-09,21:00,Lyon,,0–0,,Lorient,,Matmut Stadium de Gerland,https://fbref.com/en/matches/5afde659/Lyon-Lorient-August-9-2015-Ligue-1,2015-2016,Ligue-1,<div><strong>62%</strong></div>,<div><strong>38%</strong></div>,<div>6 of 21 — <strong>29%</strong></div>,<div><strong>50%</strong> — 5 of 10</div>,<div>4 of 5 — <strong>80%</strong></div>,<div><strong>100%</strong> — 6 of 6</div>
